,Nummer,Text,laenge,Englisch,preprocessedDE,preprocessedEN
24,25,"Kernaussage des Videos Ich möchte das exakte Gegenteil dessen, was die CDU die letzten 16 Jahre gemacht hat. Sehr glaubwürdig. NICHT.",133,Key message of the video I want the exact opposite of what the CDU has been doing for the last 16 years. Very credible. NOT.,"['Kernaussage', 'Videos', 'möchten', 'exakt', 'Gegenteil', 'Cdu', 'letzt', '16', 'Jahr', 'glaubwürdig']","['key', 'message', 'video', 'want', 'exact', 'opposite', 'cdu', 'lesen', '16', 'year', 'credibl']"
25,26,"So eine tolle Reportage, einfach danke für diese Ehrlichkeit und Offenheit. Viele Dinge habe ich genauso erlebt und es macht etwas mit einem wenn man sich in seinem Körper nicht zuhause fühlt.",192,"Such a great report, thank you for your honesty and openness. I have experienced many things in the same way and it does something to you when you don't feel at home in your body.","['toll', 'Reportage', 'einfach', 'danken', 'Ehrlichkeit', 'Offenheit', 'Ding', 'genauso', 'erleben', 'Körper', 'zuhause', 'fühlen']","['great', 'report', 'thank', 'honesty', 'openness', 'experienced', 'many', 'things', 'samen', 'way', 'something', 'dont', 'feel', 'home', 'body']"
26,27,"Die USA verstehen halt, dass China unser Todfeind ist und nichts weniger will als die Auslöschung der freien Welt. Wir sind halt unterwürfige, naive Trottel, die nicht bereit sind unsere Freiheit um jeden Preis zu verteidigen.",226,"The USA simply understands that China is our mortal enemy and wants nothing less than the annihilation of the free world. We are just submissive, naive fools who are not prepared to defend our freedom at all costs.","['Usa', 'verstehen', 'halt', 'China', 'Todfeind', 'weniger', 'Auslöschung', 'frei', 'Welt', 'halt', 'unterwürfig', 'naiv', 'Trottel', 'bereit', 'Freiheit', 'jed', 'Preis', 'verteidigen']","['usa', 'simply', 'understands', 'china', 'mortal', 'enemy', 'wants', 'nothing', 'les', 'annihilation', 'free', 'world', 'submissiv', 'naiv', 'fools', 'prepared', 'defend', 'freedom', 'costs']"
27,28,Ich bin gespannt was nach der Amtszeit von Scholz als Bundeskanzler noch so alles ans Tageslicht kommen wird. Das der bei seiner Vorgeschichte überhaupt Finanzminister und dann Bundeskanzler werden konnte ist schon ein unglaublicher Skandal.,241,"I am curious to see what else will come to light after Scholz's term of office as Federal Chancellor. It's an incredible scandal that he was able to become finance minister and then chancellor at all, given his previous history.","['gespannt', 'Amtszeit', 'Scholz', 'Bundeskanzler', 'Tageslicht', 'kommen', 'Vorgeschichte', 'überhaupt', 'Finanzminister', 'Bundeskanzler', 'schon', 'unglaublich', 'Skandal']","['curious', 'see', 'else', 'come', 'light', 'scholz', 'term', 'office', 'federal', 'chancellor', 'incredible', 'scandal', 'able', 'become', 'finance', 'minister', 'chancellor', 'given', 'previous', 'history']"
28,29,Das Duo von Musiala und Wirtz ist schon köstlich. Da wird man heiß auf die EM.,78,The duo of Musiala and Wirtz is delicious. It gets you excited for the European Championship.,"['Duo', 'Musiala', 'Wirtz', 'schon', 'köstlich', 'heiß', 'Em']","['duo', 'musiala', 'wirtz', 'delicious', 'get', 'excited', 'european', 'championship']"
29,30,Ich hab auch erst mit 33 wirklich angefangen zu sparen. Hab jetzt mit 38 ~27.000€ im Depot. Sparrate liegt aktuell bei 550€/Monat. Wenn ich das so weiter schaffe zu sparen hab ich mit 67 irgendwas zwischen 650.000 - 800.000€ vor Steuern.,237,"I didn't really start saving until I was 33. I now have ~€27,000 in my portfolio at 38. My savings rate is currently €550/month. If I manage to keep saving like this, I'll have something between €650,000 and €800,000 before tax by the time I'm 67.","['erst', '33', 'wirklich', 'anfangen', 'sparen', '38', '27000€', 'Depot', 'Sparrate', 'liegen', 'aktuell', '550€monat', 'schaffen', 'sparen', '67', 'irgendwas', '650000', '800000€', 'Steuer']","['didnen', 'really', 'start', 'saving', '33', '€27000', 'portfolio', '38', 'savings', 'rate', 'currently', '€550month', 'managen', 'keep', 'saving', 'like', 'ill', 'something', '€650000', '€800000', 'tax', 'time', 'im', '67']"
30,31,"Ich bin mega gehyped auf diesen Film, weil ich Teil 1 und 2 gesehen habe. Da muss ich diesen sehen.",99,I'm mega hyped for this movie because I've seen parts 1 and 2. So I have to see this one.,"['Mega', 'Gehyped', 'Film', 'Teil', '1', '2', 'sehen', 'müssen', 'sehen']","['mega', 'hyped', 'movie', 'ive', 'see', 'part', '1', '2', 'see', 'one']"
31,32,Die Elbphilharmonie in Hamburg sollte ursprünglich 77 Millionen kosten. Am Ende mussten 866 Millionen hingeblättert werden. Was sagt man dazu?,142,"The Elbphilharmonie concert hall in Hamburg was originally supposed to cost 77 million. In the end, 866 million had to be forked out. What do you say to that?","['Elbphilharmoni', 'Hamburg', 'sollen', 'ursprünglich', '77', 'Million', 'kosten', 'Ende', 'müssen', '866', 'Million', 'hinblättern', 'sagen']","['elbphilharmoni', 'concert', 'hall', 'hamburg', 'originally', 'supposed', 'cost', '77', 'million', 'enden', '866', 'million', 'haben', 'forked', 'say']"
32,33,"Sehr spannende Doku..man stellt sich als Zuschauer immer alles so einfach vor,aber Respekt was die da leisten.",110,"Very exciting documentary...as a viewer you always imagine everything to be so simple, but respect what they achieve.","['spannend', 'Dokuma', 'stellen', 'Zuschauer', 'immer', 'einfach', 'voraber', 'Respekt', 'leisten']","['exciting', 'documentaryas', 'viewer', 'always', 'imagine', 'everything', 'simpel', 'respect', 'achieve']"
33,34,"Überall wo die Politik in der Privatwirtschaft mitmischte gab es das selbe Muster. Unfähigkeit, Dekadenz und Korruption von Volksvertretern und öffentlichen Entscheidungsträgern waren immer dabei mitverantwortlich.",214,"Wherever politics has been involved in the private sector, there has been the same pattern. Incompetence, decadence and corruption on the part of representatives of the people and public decision-makers were always partly responsible.","['überall', 'Politik', 'Privatwirtschaft', 'mitmischen', 'geben', 'selb', 'Muster', 'Unfähigkeit', 'Dekadenz', 'Korruption', 'Volksvertreter', 'öffentlich', 'Entscheidungsträger', 'immer', 'dabei', 'mitverantwortlich']","['wherever', 'politics', 'involved', 'private', 'sector', 'ther', 'samen', 'pattern', 'incompetence', 'decadence', 'corruption', 'part', 'representatives', 'people', 'public', 'decisionmakers', 'always', 'partly', 'responsible']"
34,35,Was ist das blos für ein erbärmlicher Haufen.,45,What a pathetic bunch they are.,"['blos', 'erbärmlich', 'Haufen']","['pathetic', 'bunch']"
35,36,"Ich finde es unglaublich wie gut Florian sich ausdrücken kann! Ein Wortschatz von dem sich mancher Gymnasiast was abschauen könnte. Hut ab, weiter so Flo!",154,"I find it incredible how well Florian can express himself! A vocabulary that many a high school student could learn from. Hats off, keep it up Flo!","['finden', 'unglaublich', 'gut', 'Florian', 'ausdrücken', 'Wortschatz', 'manch', 'Gymnasiast', 'abschauen', 'Hut', 'ab', 'Flo']","['finden', 'incredible', 'well', 'florian', 'ca', 'express', 'vocabulary', 'many', 'high', 'school', 'student', 'could', 'lear', 'hats', 'keep', 'flo']"
36,37,Der Spot wurde doch von der Heute-Show gedreht. Das können die doch nicht ernst meinen.,87,The commercial was filmed by the Heute-Show. They can't be serious.,"['Spot', 'Heuteshow', 'drehen', 'ernst']","['commercial', 'filmed', 'heuteshow', 'cant', 'serious']"
37,38,"Ich finde, wenn man sich auf ein Interview vorbereitet oder vorbespricht, sollte man sich doch zumindest soviel Mühe geben, den Gegenüber zu fragen, wie sein oder ihr Name ausgesprochen wird.",191,"I think that if you are preparing for an interview, or talking in advance, you should at least make the effort to ask the other person how his or her name is pronounced.","['finden', 'Interview', 'vorbereiten', 'vorbespricht', 'sollen', 'zumindest', 'soviel', 'Mühe', 'geben', 'Gegenüber', 'fragen', 'Name', 'aussprechen']","['think', 'preparing', 'interview', 'talking', 'advance', 'leasen', 'make', 'effort', 'ask', 'person', 'name', 'pronounced']"
38,39,"Ein teures Gesundheitssystem wird da auch nicht weiter helfen, wenn die Leute von sich aus nicht auf ihre Gesundheit achten",123,An expensive healthcare system won't help if people don't take care of their health themselves,"['teuer', 'Gesundheitssystem', 'helfen', 'Leute', 'Gesundheit', 'achten']","['expensiv', 'healthcare', 'system', 'wont', 'help', 'people', 'dont', 'take', 'care', 'health', 'themselve']"
39,40,"Ich beobachte und kaufe regelmäßig die Kryptowährung Crypton, da ich glaube, dass sie ein ziemlich hohes Wachstumspotenzial hat.",128,"I regularly watch and buy the cryptocurrency Crypton, as I believe it has a fairly high growth potential.","['beobachten', 'kaufen', 'regelmäßig', 'Kryptowährung', 'Crypton', 'glauben', 'ziemlich', 'hoch', 'Wachstumspotenzial']","['regularly', 'watch', 'buy', 'cryptocurrency', 'crypton', 'believe', 'fairly', 'high', 'growth', 'potential']"
40,41,Perfekt zum Einschlafen:))),27,Perfect for falling asleep :))),"['perfekt', 'Einschlafen']","['perfect', 'falling', 'asleep']"
41,42,irgendwie langweilig.... catcht mich nicht. vllt weil ich nie die deutsche syncro geschaut hab... aber der trailer zieht sich auch sehr,135,kind of boring.... doesn't catch me. maybe because i never watched the german syncro... but the trailer also drags a lot,"['irgendwie', 'langweilig', 'catch', 'vllen', 'nie', 'deutsch', 'Syncro', 'schauen', 'Trailer', 'ziehen']","['kind', 'boring', 'doesnt', 'catch', 'maybe', 'never', 'watched', 'german', 'syncro', 'trailer', 'also', 'drags', 'loten']"
42,43,"Mich würde mal eine Rechnung interessieren, wenn der Überschüssige Strom nicht ins Netz eingespeist wird sondern in Wasserstoff gespeichert. HomePowerSolutions bietet eine Interessante Lösung an wobei ich vermute, dass man als 'early adaptor' noch tief in die Tasche greift. Wenn man dadurch autark wird und statt 30% Eigenverbrauch auf 100% kommen kann sollte es ja wesentlich effizienter sein",394,"I would be interested to see a calculation if the surplus electricity is not fed into the grid but stored in hydrogen. HomePowerSolutions offers an interesting solution, although I suspect that as an 'early adaptor' you will have to dig deep into your pockets. If you become self-sufficient and can achieve 100% self-consumption instead of 30%, it should be much more efficient","['mal', 'Rechnung', 'interessieren', 'überschüssig', 'Strom', 'Netz', 'einspeisen', 'Wasserstoff', 'speichern', 'Homepowersolution', 'bieten', 'interessant', 'Lösung', 'wobei', 'vermuten', 'Early', 'Adaptor', 'tief', 'Tasche', 'greifen', 'dadurch', 'autark', 'statt', '30', 'Eigenverbrauch', '100', 'kommen', 'sollen', 'ja', 'wesentlich', 'effizient']","['would', 'interested', 'see', 'calculation', 'surplus', 'electricity', 'fed', 'grid', 'stored', 'hydrogen', 'homepowersolution', 'offers', 'interesting', 'solution', 'although', 'suspect', 'early', 'adaptor', 'wollen', 'dig', 'deep', 'pockets', 'become', 'selfsufficient', 'achieve', '100', 'selfconsumption', 'instead', '30', 'much', 'efficient']"
43,44,"Es ist mir ein Rätsel, warum die EU sich selbst ökonomisch ins Mittelalter zurückkatapultieren will, indem die Entwicklung jeglicher Zukunftstechnologie erschwert bis verhindert wird.",183,It is a mystery to me why the EU wants to catapult itself back into the Middle Ages economically by making the development of any future technology more difficult or even preventing it.,"['Rätsel', 'warum', 'Eu', 'ökonomisch', 'Mittelalter', 'zurückkatapultieren', 'Entwicklung', 'jeglich', 'Zukunftstechnologie', 'erschweren', 'verhindern']","['mystery', 'eu', 'wants', 'catapulen', 'back', 'middle', 'ag', 'economically', 'making', 'development', 'future', 'technology', 'difficult', 'even', 'preventing']"
44,45,Vielen Dank für diesen starken Film!,36,Thank you for this powerful movie!,"['Dank', 'stark', 'Film']","['thank', 'powerful', 'movie']"
45,46,Schade seid ihr nicht in unserem Werk in Emmen/CH vorbeigekommen und ein wenig mehr über die Nutzlastverkleidung/ Fairing gezeigt.,130,Too bad you didn't stop by our factory in Emmen/CH and show a little more about the payload fairing.,"['schade', 'Werk', 'Emmench', 'vorbeikommen', 'weniger', 'mehr', 'Nutzlastverkleidung', 'Fairing', 'zeigen']","['bad', 'didnen', 'stop', 'factory', 'emmench', 'show', 'little', 'payload', 'fairing']"
46,47,Bin bei Minute 8 und selten so einen Scheiß gehört!,51,I'm at minute 8 and rarely heard such shit!,"['Minute', '8', 'selten', 'scheißen', 'gehören']","['minute', '8', 'rarely', 'heard', 'suchen', 'shit']"
47,48,Guter differenzierter Beitrag.,30,Good differentiated contribution.,"['gut', 'differenziert', 'Beitrag']","['good', 'differentiated', 'contribution']"
48,49,leider kein hummels schade hätte er sich absolut verdient,57,unfortunately no hummels a pity he would have absolutely deserved it,"['leider', 'hummels', 'schade', 'absolut', 'verdienen']","['unfortunately', 'hummels', 'pity', 'would', 'absolutely', 'deserved']"
49,50,Das Bild gefällt mir! Vielen Dank!,34,I like the picture! Thank you very much!,"['Bild', 'gefallen', 'Dank']","['like', 'picture', 'thank', 'much']"
50,51,Ich glaube das wichtigste ist der bewusste Konsum. Das gilt doch für alle Drogen oder?,86,"I think the most important thing is conscious consumption. That applies to all drugs, doesn't it?","['glauben', 'wichtig', 'bewusst', 'Konsum', 'gelten', 'all', 'Droge']","['think', 'important', 'thing', 'conscious', 'consumption', 'applies', 'drugs']"
51,52,Danke dass ihr das noch mal aufgreift.Dies darf nicht vergessen werden!,71,Thank you for bringing this up again - it must not be forgotten!,"['danke', 'mal', 'aufgreiftdies', 'dürfen', 'vergessen']","['thank', 'bringing', 'müssen', 'gut', 'forgott']"
52,53,Dieser Werbespot ist eine absolute und dreiste Frechheit.,57,This commercial is an absolute and brazen impertinence.,"['Werbespot', 'absolut', 'dreist', 'Frechheit']","['commercial', 'absolut', 'brazen', 'impertinence']"
53,54,"Echt traurig,auch so manche geschmacklosen Kommentare hier....Kranke Gesellschaft",81,"Really sad, even some of the tasteless comments here .... Sick society","['echt', 'Traurigauch', 'manch', 'geschmacklos', 'Kommentar', 'hierkrank', 'Gesellschaft']","['really', 'sad', 'even', 'tasteless', 'comments', 'sick', 'society']"
54,55,In Moskau ist eine Flasche Wodka umgefallen,43,A bottle of vodka fell over in Moscow,"['Moskau', 'Flasche', 'Wodka', 'umfallen']","['bottle', 'vodka', 'fell', 'moscow']"
55,56,So lange ein Facharbeiter nicht das Geld bekommt das für eine Familie ausreicht und selbst Doppelverdiener (war früher ein Schimpfwort) das kaum mehr stemmen können gibt es ein Problem.,185,"As long as a skilled worker doesn't get enough money to support a family and even double earners (used to be a dirty word) can hardly manage that, there's a problem.","['lange', 'Facharbeiter', 'Geld', 'bekommen', 'Familie', 'ausreichen', 'Doppelverdiener', 'früh', 'Schimpfwort', 'kaum', 'mehr', 'stemmen', 'geben', 'Problem']","['long', 'skilled', 'worker', 'get', 'enough', 'money', 'support', 'family', 'even', 'doubeln', 'earners', 'used', 'dirty', 'worden', 'hardly', 'managen', 'theres', 'problem']"
56,57,Für weniger Geld mehr Verantwortung übernehmen. Nein Danke.,59,Taking on more responsibility for less money. No thanks.,"['wenig', 'Geld', 'mehr', 'Verantwortung', 'übernehmen', 'nein', 'danken']","['taking', 'responsibility', 'les', 'money', 'thanks']"
57,58,Wir haben eine Katze aus Griechenland,37,We have a cat from Greece,"['Katze', 'Griechenland']","['cat', 'greece']"
58,59,Damit würde man dann auch die Rente des Kleinanlegers zerstörten. Aktien sind nun mal die beste Möglichkeit die Rentenlücke zu schließen. Für klein und Normalanleger sollten Aktienverkäufe Steuerfrei sein (nach 10 Jahren Anlage) oder nur wenig besteuert werden.,261,"This would also destroy the pension of the small investor. Shares are the best way to close the pension gap. For small and normal investors, share sales should be tax-free (after 10 years of investment) or taxed only slightly.","['Rente', 'Kleinanleger', 'zerstört', 'Aktie', 'mal', 'gut', 'Möglichkeit', 'Rentenlücke', 'schließen', 'Klein', 'Normalanleger', 'sollen', 'Aktienverkauf', 'steuerfrei', '10', 'Jahr', 'Anlage', 'wenig', 'besteuern']","['would', 'also', 'destroy', 'pension', 'small', 'investor', 'shares', 'best', 'way', 'clos', 'pension', 'gap', 'small', 'normal', 'investor', 'sharen', 'sales', 'taxfree', '10', 'year', 'investment', 'taxed', 'slightly']"
59,60,Können neuronale Netzwerke in Zukunft alle Aufgaben besser ausführen als Menschen oder wo liegen die Grenzen?,109,"Will neural networks be able to perform all tasks better than humans in the future, or where are the limits?","['neuronal', 'Netzwerk', 'Zukunft', 'all', 'Aufgabe', 'gut', 'ausführen', 'Mensch', 'liegen', 'Grenze']","['neural', 'network', 'able', 'perform', 'task', 'better', 'human', 'future', 'wher', 'limit']"
60,61,"So Leude, Forza ist runtergeladen",33,"So guys, Forza is downloaded","['Leude', 'Forza', 'runterladen']","['guy', 'forza', 'downloaded']"
61,62,Wie schön ist das bitte Das macht so Spaß zuzugucken,52,How beautiful is that please? It's so much fun to watch,"['schön', 'bitte', 'Spaß', 'zugucken']","['beautiful', 'please', 'much', 'fun', 'watch']"
62,63,"So ein toller junger Mann, er ist durch die Therapie wirklich stärker geworden! Ich würde ihn sofort einstellen! Alles Gute!",124,"Such a great young man, he has really gotten stronger through therapy! I would hire him in a heartbeat! All the best!","['toll', 'jung', 'Mann', 'Therapie', 'wirklich', 'stark', 'sofort', 'einstellen', 'all', 'Gute']","['great', 'young', 'man', 'really', 'gott', 'stronger', 'therapy', 'would', 'hire', 'heartbeat', 'best']"
