StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1_1,Q2_1,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1,Q11_1,Q12_1,Q13_1,Q14_1,Q15_1,Q16_1,Q17_1,Q18_1,Q19_1,Q20_1,Q21_1,Q22_1,Q23_1,Q24_1,Q25_1,Q26_1,Q27_1,Q28_1,Q29_1,Q30_1,Q31_1,Q32_1,Q33_1,Q34_1,Q35_1,Q36_1,Q37_1,Q38_1,Q39_1,Q40_1,Q41_1,Q42_1,Q43_1,Q44_1,Q45_1,Q46_1,Q47_1,Q48_1,Q49_1,Q50_1,Q51_1,Q52_1,Q53_1,Q54_1,Q55_1,Q56_1,Q57_1,Q58_1,Q59_1,Q60_1,Q61_1,Q62_1,Q63_1,Q64_1,Q65_1,Q66_1,Q67_1,Q68_1,Q69_1,Q70_1,Q71_1,Q72_1,Q73_1,Q74_1,Q75_1,Q76_1,Q77_1,Q78_1,Q79_1,Q80_1,Q81_1,Q82_1,Q83_1,Q84_1,Q85_1,Q86_1,Q87_1,Q88_1,Q89_1,Q90_1,Q91_1,Q92_1,Q93_1,Q94_1,Q95_1,Q96_1,Q97_1,Q98_1,Q99_1,Q100_1
2024-06-02 01:49:13,2024-06-02 02:05:39,IP Address,100,985,True,2024-06-02 02:05:39,R_2CmwgJOtNDh1de1,anonymous,EN,5,2,-8,5,3,-1,6,-6,6,-6,6,-1,0,8,-3,8,4,-7,7,-6,-8,0,-8,7,-7,7,-8,-5,4,1,6,-3,6,-8,-9,9,-4,-5,-5,2,-3,-4,0,-7,4,-3,-7,2,-2,3,1,3,-8,-7,0,-5,-6,0,-2,0,0,5,7,1,-6,0,7,-5,-7,-7,-3,-2,-2,-4,-7,-8,-6,6,-4,5,8,-7,1,-5,-8,-10,-3,-4,6,2,3,5,-6,-7,0,-2,0,-6,5,3
2024-06-02 01:50:49,2024-06-02 02:06:33,IP Address,100,944,True,2024-06-02 02:06:34,R_2cTSyWpufUcUKD3,anonymous,EN,7,3,-7,7,8,0,8,-2,10,-7,7,-1,0,8,-5,5,8,-6,8,-10,-2,0,-8,6,-6,4,-8,-7,9,0,8,-2,6,-5,-7,8,-4,-4,-4,1,7,-4,0,-4,8,-1,-9,6,-2,9,0,7,-8,-9,0,-2,-4,0,-2,0,0,9,8,7,-6,-3,10,-2,-2,-10,-3,-2,-3,-5,-7,-10,-7,10,-6,1,8,-8,3,-6,-6,-10,-3,-7,10,4,4,9,-2,-8,0,-1,0,-9,9,7
2024-06-02 02:01:47,2024-06-02 02:23:02,IP Address,100,1275,True,2024-06-02 02:23:03,R_21o6Fb4aPK86440,anonymous,EN,6,3,-10,10,8,0,5,-6,8,-8,7,0,0,8,-8,2,7,-4,5,-10,-5,0,-10,8,-8,10,-10,-8,4,0,8,-1,6,-10,-10,7,-2,-2,-4,0,10,-5,0,-3,8,-5,-4,4,-4,5,0,5,-8,-8,0,-4,-2,0,-2,0,0,8,10,6,0,-5,7,-3,-4,-8,-8,0,-3,-5,-5,-4,-5,10,-5,2,2,-8,3,-5,-6,-8,-10,-5,10,-4,2,5,-4,-6,0,-4,0,-10,8,5
2024-06-02 02:20:05,2024-06-02 02:46:53,IP Address,100,1607,True,2024-06-02 02:46:53,R_2kdYxTnVrwkIaCT,anonymous,EN,3,-1,-6,2,5,0,10,-2,2,-2,2,-1,0,6,-1,4,6,-2,3,-6,-3,0,-4,9,-3,4,-5,-2,3,2,4,-1,3,-5,-8,6,-1,-2,-2,1,6,-3,2,-4,4,-1,-4,2,3,3,0,2,-3,-7,-1,-3,0,0,-3,-1,0,7,7,5,-3,-1,4,-2,-4,-3,-3,0,2,-2,-2,-4,-3,4,-3,1,6,-5,2,-3,-5,-10,-4,-2,8,2,1,1,-3,-3,-1,-1,1,-3,5,5
2024-06-05 02:50:21,2024-06-04 03:10:13,IP Address,100,1192,True,2024-06-04 03:10:14,R_2eRIX3XcBww0GnV,anonymous,EN,9,5,-8,7,8,0,9,-4,8,-4,5,0,1,8,-3,5,8,-6,7,-5,-2,0,-9,7,-2,8,-6,-6,3,0,6,-3,5,-6,-6,7,-3,-4,-2,4,8,-6,1,-7,7,-1,-10,7,-2,7,1,5,-5,-8,0,-1,-2,1,-4,1,0,6,5,8,-6,-3,8,-3,-4,-10,-6,-1,-4,-5,-7,-8,-6,8,-4,3,3,-2,2,-7,-5,-8,-6,-8,6,0,8,5,-7,-6,0,-3,0,-8,8,7
2024-06-05 02:58:19,2024-06-04 03:18:15,IP Address,100,1196,True,2024-06-04 03:18:16,R_2wzNPwApnQv7HAx,anonymous,EN,8,5,-7,6,6,1,7,-7,8,-7,3,0,0,8,-6,5,9,-7,8,-10,-5,0,-8,4,-7,7,-7,-5,7,1,4,-5,6,-4,-8,8,-7,-5,-3,2,5,-4,0,-5,3,-2,-8,3,-4,7,0,6,-9,-9,0,-3,-4,0,-3,0,0,8,7,7,-6,-2,7,-2,-6,-10,-3,0,-1,-6,-6,-9,-8,9,-4,4,4,-4,3,-6,-6,-9,-7,-6,4,1,4,7,-5,-7,-3,-3,0,-7,8,6
2024-06-05 03:54:04,2024-06-05 04:14:08,IP Address,100,1204,True,2024-06-05 04:14:09,R_8gOu70INblH2iYU,anonymous,EN,6,4,-6,3,7,0,8,-5,7,-4,4,-1,0,7,-4,7,5,-4,5,-8,-3,0,-6,7,-3,4,-4,-2,5,0,6,-3,7,-10,-7,6,-3,-2,-1,0,6,-4,0,-6,6,-2,-7,5,-2,4,0,3,-7,-8,0,-2,-1,0,-2,0,0,2,6,5,-3,-3,3,-2,-4,-9,-4,-1,-3,-3,-4,-7,-2,6,-5,2,6,-4,1,-7,-4,-10,-6,-6,8,6,4,7,-6,-5,0,-3,0,-6,6,6
2024-06-05 03:59:08,2024-06-05 04:19:09,IP Address,100,1200,True,2024-06-05 04:19:09,R_8eqA1Ibpq8SdOHK,anonymous,EN,8,4,-10,4,10,0,7,-2,7,-2,6,-2,0,9,-2,9,7,-8,7,-10,-6,0,-8,10,-6,7,-8,-6,6,1,5,-4,7,-7,-9,7,-5,-5,-4,1,3,-4,1,-7,9,-4,-10,7,-2,8,0,4,-10,-10,0,-2,-3,0,-3,0,0,6,7,7,-5,-2,7,-2,-4,-10,-3,0,-5,-6,-6,-8,-7,9,-6,4,7,-7,4,-6,-8,-10,-7,-8,9,1,5,9,-9,-6,-1,-2,0,-7,9,8
2024-06-05 04:19:46,2024-06-05 04:37:43,IP Address,100,1077,True,2024-06-05 04:37:44,R_2CEcpdiKkmoug8u,anonymous,EN,9,3,-7,-1,3,0,5,-4,6,-5,4,-3,0,4,-3,5,4,-4,5,-7,-5,0,-5,4,-5,4,-4,-5,5,0,5,-3,5,-6,-8,6,-4,-7,-8,0,3,-4,0,-4,6,-2,-7,5,-3,6,0,4,-9,-10,0,-2,-3,0,-2,0,0,6,7,3,-5,-3,5,-2,-3,-8,-4,-2,-3,-6,-7,-7,-6,8,-4,1,5,-1,2,-5,-7,-8,-8,-6,9,8,2,6,-10,-6,0,-4,0,-6,6,6
2024-06-05 04:19:49,2024-06-05 04:39:19,IP Address,100,1169,True,2024-06-05 04:39:19,R_2dgdOks8HOShZfw,anonymous,EN,9,6,-10,-1,9,-1,9,-8,9,-6,6,-6,0,9,-6,8,8,-8,9,-10,-8,-1,-9,9,-9,7,-6,-9,8,0,7,-7,8,-10,-10,8,-5,-7,-5,1,10,-7,0,-8,9,-4,-9,7,-4,9,0,7,-9,-10,0,-6,-7,1,0,0,0,9,10,8,-8,-5,6,-5,-6,-10,-6,-3,-5,-9,-10,-8,-8,10,-7,5,8,-8,4,-8,-9,-10,-9,-9,10,0,5,9,-10,-8,0,-7,0,-8,9,7
2024-06-05 05:25:59,2024-06-05 06:03:47,IP Address,100,2268,True,2024-06-05 06:03:47,R_8gSl4QQ6OazLNK5,anonymous,EN,9,4,-8,6,10,0,10,-3,7,-6,7,-1,0,8,-5,8,9,-7,7,-10,-5,0,-8,6,-6,8,-7,-6,8,1,7,-5,5,-7,-5,7,-4,-3,-5,0,9,-5,0,-5,9,-2,-8,6,-2,10,0,6,-8,-10,0,-4,-4,0,-2,0,0,8,8,7,-3,-8,8,-3,-4,-10,-3,-1,-1,-8,-6,-8,-5,10,-3,1,7,-8,2,-7,-8,-10,-7,-6,10,2,3,8,-6,-3,0,-3,0,-7,9,7
2024-06-05 05:26:52,2024-06-05 06:04:48,IP Address,100,2276,True,2024-06-05 06:04:49,R_2diyiTCaFSOlZog,anonymous,EN,6,5,-7,5,7,-2,8,-3,8,-5,2,0,0,7,-5,7,8,-7,8,-9,-4,0,-8,9,-5,7,-5,-7,6,1,7,-3,5,-9,-10,7,-5,-4,-5,1,9,-5,0,-5,8,-2,-7,6,-1,8,0,4,-9,-9,0,-4,-3,0,-5,-1,0,7,6,7,-4,-5,6,-3,-4,-10,-2,0,-4,-6,-9,-8,-9,10,-6,0,7,-8,2,-7,-4,-9,-6,-5,8,2,4,4,-7,-7,-1,-1,0,-7,7,7
2024-06-05 05:26:09,2024-06-05 06:04:51,IP Address,100,2321,True,2024-06-05 06:04:51,R_8r7jgUh71j8qT2h,anonymous,EN,9,6,-10,6,10,-1,10,-4,8,-6,5,-1,1,9,-5,7,9,-8,9,-10,-6,0,-10,8,-5,7,-6,-8,9,2,6,-6,9,-4,-9,8,-5,-4,-5,2,10,-6,1,-5,8,-4,-8,5,-3,10,0,7,-9,-8,0,-5,-4,0,-6,0,0,9,10,7,-6,-5,7,-4,-6,-10,-5,-2,-4,-7,-8,-9,-6,10,-6,2,8,-6,3,-7,-7,-10,-8,-7,9,2,4,7,-6,-6,0,-5,0,-10,9,9
2024-06-05 08:21:45,2024-06-05 08:42:15,IP Address,100,1230,True,2024-06-05 08:42:16,R_210ENwABVL3gzuh,anonymous,EN,3,-2,-7,4,6,0,8,-7,6,-5,3,-2,0,3,-2,-4,3,-4,-2,-6,-4,-2,-10,6,-7,3,-8,-7,2,0,6,-7,4,-2,-9,4,-4,-2,-3,0,-4,-2,-3,-2,2,-2,-9,2,-2,5,0,2,-8,-4,0,-2,-6,0,-2,0,0,4,2,5,-2,-5,2,-5,-4,-10,-2,-3,2,-4,-4,-10,-4,8,-2,-2,2,-6,5,-8,-10,-10,-2,-4,4,2,3,6,-6,-5,0,-1,0,-4,2,-7
2024-06-06 01:58:27,2024-06-06 02:14:12,IP Address,100,945,True,2024-06-06 02:14:13,R_2BhODPMtZqwQCa1,anonymous,EN,5,-2,-4,1,3,1,5,-4,2,-3,6,2,3,4,-2,4,10,1,2,-5,-4,-1,-2,10,-4,10,-4,-3,1,1,5,-2,6,-5,-3,10,1,1,1,2,4,-3,-1,-2,6,-1,-5,3,2,4,2,6,-3,1,1,-1,-2,1,1,-2,-3,7,10,5,-2,-4,3,-3,-4,-6,-1,-1,3,-2,-4,-2,-2,-1,-1,-1,3,-3,10,-4,-6,-10,-2,-5,8,3,3,7,-3,-1,1,-3,3,-4,6,8
2024-06-10 02:05:18,2024-06-10 02:20:45,IP Address,100,927,True,2024-06-10 02:20:46,R_2zSGiy9w1FBNLHl,anonymous,EN,6,0,-6,10,10,7,10,-8,5,-8,6,0,0,10,-4,10,3,-3,4,-3,-6,0,-2,9,-6,5,-10,-6,10,1,7,-7,8,-4,-10,10,-6,-4,-3,2,10,0,-1,-5,10,-2,-8,2,-2,8,0,6,-4,-4,-2,-4,-4,0,-2,0,6,10,4,10,-3,-3,2,-3,-6,-10,-1,0,-1,-3,-6,-2,-1,10,-2,-2,9,-7,10,-5,-8,-10,-1,-4,10,4,5,4,-5,-1,0,-7,0,-7,8,4
2024-06-11 02:06:11,2024-06-11 02:21:29,IP Address,100,917,True,2024-06-11 02:21:29,R_8LoPVjr7K19EACu,anonymous,EN,4,3,-3,4,4,2,5,-5,7,-3,6,-1,2,6,-6,7,4,-5,7,-8,-4,0,-3,7,-5,7,-9,-4,4,5,4,-7,5,-4,-5,5,-1,-3,-4,4,5,-1,2,-5,5,-4,5,2,-5,4,1,5,-4,-2,0,-4,-2,2,-5,0,6,6,5,-8,-2,-2,6,-3,-3,-2,-3,2,-4,-2,-6,-3,-3,4,-4,2,3,-4,4,-4,-2,-5,-2,-4,4,8,5,4,-8,-5,1,-4,2,-1,4,3
2024-06-17 07:54:23,2024-06-17 08:20:18,IP Address,100,1554,True,2024-06-17 08:20:19,R_85t1Fcx4TdhU071,anonymous,EN,6,2,-6,4,3,0,5,-5,4,-6,8,0,1,2,-3,2,4,-5,3,-10,-8,0,-8,5,-4,2,-8,-4,5,0,5,-3,4,-5,-10,2,-2,-2,-2,1,8,-1,-2,-2,6,1,-5,2,-2,1,0,1,-9,-10,0,-2,-7,0,-2,0,0,10,2,5,-3,0,6,-3,-6,-10,-5,0,-1,-5,-6,-4,-2,3,-4,1,4,-5,4,-6,-5,-10,-5,-3,10,1,2,2,-5,-4,0,-4,0,-3,6,4
2024-07-04 12:39:48,2024-07-04 13:04:44,IP Address,100,1495,True,2024-07-04 13:04:44,R_2kq5ryDCdEP8oF0,anonymous,EN,2,1,-2,3,6,1,6,-2,8,-2,4,0,0,6,-3,10,2,-3,3,-8,-4,0,-2,6,-6,10,-5,-6,3,1,4,-3,5,-6,-2,5,-1,-1,-1,2,7,-2,1,-3,4,-1,-4,3,-2,2,1,3,-3,-5,-1,-5,-2,0,1,0,2,7,3,9,-3,-1,5,-2,-1,-7,-3,-1,2,-1,-2,-3,-1,9,-2,2,6,-7,1,-3,-2,-8,-1,-9,2,2,2,3,-4,-2,0,-1,2,6,4,2
